INDEX,HTTP2_LOCAL,QUIC_LOCAL,HTTP2_REMOTE,QUIC_REMOTE
0,999,913,61595,54770
1,798,1001,41740,53911
2,845,912,43138,66255
3,898,1003,51527,63521
4,960,916,37022,51925
5,788,910,35908,50067
6,788,1299,39781,63199
7,819,989,27474,47476
8,883,1012,53649,61855
9,831,991,33833,50198
10,839,910,41593,68406
11,787,912,31651,63565
12,787,988,36828,59597
13,830,1016,36033,57726
14,831,992,43804,49620
15,823,993,50118,57020
16,876,999,47140,64868
17,1234,997,29983,54478
18,787,913,45320,69765
19,789,1005,36820,67537
20,789,912,47629,73235
21,896,992,46877,47632
22,788,912,50122,61320
23,814,1004,44712,43817
24,826,1051,37805,56904
25,788,910,40271,53523
26,790,911,46702,62350
27,902,914,44566,62711
28,788,986,38767,70378
29,1090,912,46374,75014
30,880,1666,41522,73601
31,835,909,46985,62057
32,886,1034,45463,75666
33,1030,1045,48739,71300
34,834,1026,51556,57128
35,866,1009,46733,63569
36,831,1206,49186,57146
37,890,1001,45683,58587
38,873,1244,46224,60019
39,830,1022,42039,49419
40,788,1047,46711,69112
41,889,994,48804,46555
42,870,989,45637,59384
43,870,994,51444,57823
44,786,912,48981,61354
45,788,991,48735,75295
46,788,918,48143,62960
47,882,1000,46860,65217
48,785,909,51488,58448
49,789,910,44148,61259
