INDEX,HTTP2_LOCAL,QUIC_LOCAL,HTTP2_REMOTE,QUIC_REMOTE
0,836,1127,1233,750
1,918,889,1254,203
2,793,1119,1247,199
3,794,1082,1233,203
4,910,1101,1197,191
5,862,1135,1204,203
6,890,1100,1187,203
7,800,1107,1224,187
8,854,1067,1210,203
9,883,1117,1194,187
10,892,1001,1216,188
11,825,845,1228,203
12,799,1066,1207,203
13,793,1108,1238,202
14,792,1100,1215,187
15,799,1190,1233,189
16,804,1227,1210,203
17,833,1310,1288,203
18,855,1173,1222,203
19,820,1099,1225,206
20,839,843,1220,203
21,799,1171,1212,203
22,797,1127,1245,187
23,899,1056,1257,203
24,894,1134,1197,203
25,910,1115,1199,203
26,812,1083,1189,205
27,801,1204,1236,203
28,799,1097,1187,187
29,798,1162,1753,203
30,832,1086,1236,209
31,856,863,1222,188
32,859,859,1250,187
33,874,849,1241,203
34,877,1061,1247,205
35,893,1154,1212,200
36,880,1042,1191,193
37,851,1134,1255,203
38,859,1095,1224,203
39,875,1069,1241,187
40,813,1128,1244,187
41,894,1114,1218,203
42,848,1335,1217,203
43,834,876,1247,187
44,799,1162,1219,187
45,799,898,1244,203
46,802,1083,1216,187
47,810,1088,1191,203
48,872,1114,1202,194
49,791,1130,1255,203
