INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
0,HTTP2,https://52.15.197.199:9000,/,767,/image,61595
0,HTTP2,https://172.17.90.8:9000,/,53,/image,999
0,QUIC,https://52.15.197.199:9001,/,375,/image,54770
0,QUIC,https://172.17.90.8:9001,/,5,/image,913
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
1,HTTP2,https://52.15.197.199:9000,/,760,/image,41740
1,HTTP2,https://172.17.90.8:9000,/,113,/image,798
1,QUIC,https://52.15.197.199:9001,/,374,/image,53911
1,QUIC,https://172.17.90.8:9001,/,4,/image,1001
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
2,HTTP2,https://52.15.197.199:9000,/,768,/image,43138
2,HTTP2,https://172.17.90.8:9000,/,44,/image,845
2,QUIC,https://52.15.197.199:9001,/,376,/image,66255
2,QUIC,https://172.17.90.8:9001,/,4,/image,912
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
3,HTTP2,https://52.15.197.199:9000,/,821,/image,51527
3,HTTP2,https://172.17.90.8:9000,/,112,/image,898
3,QUIC,https://52.15.197.199:9001,/,377,/image,63521
3,QUIC,https://172.17.90.8:9001,/,5,/image,1003
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
4,HTTP2,https://52.15.197.199:9000,/,759,/image,37022
4,HTTP2,https://172.17.90.8:9000,/,129,/image,960
4,QUIC,https://52.15.197.199:9001,/,377,/image,51925
4,QUIC,https://172.17.90.8:9001,/,4,/image,916
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
5,HTTP2,https://52.15.197.199:9000,/,731,/image,35908
5,HTTP2,https://172.17.90.8:9000,/,13,/image,788
5,QUIC,https://52.15.197.199:9001,/,378,/image,50067
5,QUIC,https://172.17.90.8:9001,/,8,/image,910
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
6,HTTP2,https://52.15.197.199:9000,/,738,/image,39781
6,HTTP2,https://172.17.90.8:9000,/,13,/image,788
6,QUIC,https://52.15.197.199:9001,/,374,/image,63199
6,QUIC,https://172.17.90.8:9001,/,4,/image,1299
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
7,HTTP2,https://52.15.197.199:9000,/,775,/image,27474
7,HTTP2,https://172.17.90.8:9000,/,31,/image,819
7,QUIC,https://52.15.197.199:9001,/,379,/image,47476
7,QUIC,https://172.17.90.8:9001,/,5,/image,989
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
8,HTTP2,https://52.15.197.199:9000,/,758,/image,53649
8,HTTP2,https://172.17.90.8:9000,/,118,/image,883
8,QUIC,https://52.15.197.199:9001,/,374,/image,61855
8,QUIC,https://172.17.90.8:9001,/,4,/image,1012
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
9,HTTP2,https://52.15.197.199:9000,/,739,/image,33833
9,HTTP2,https://172.17.90.8:9000,/,45,/image,831
9,QUIC,https://52.15.197.199:9001,/,376,/image,50198
9,QUIC,https://172.17.90.8:9001,/,4,/image,991
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
10,HTTP2,https://52.15.197.199:9000,/,742,/image,41593
10,HTTP2,https://172.17.90.8:9000,/,51,/image,839
10,QUIC,https://52.15.197.199:9001,/,377,/image,68406
10,QUIC,https://172.17.90.8:9001,/,8,/image,910
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
11,HTTP2,https://52.15.197.199:9000,/,746,/image,31651
11,HTTP2,https://172.17.90.8:9000,/,13,/image,787
11,QUIC,https://52.15.197.199:9001,/,374,/image,63565
11,QUIC,https://172.17.90.8:9001,/,4,/image,912
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
12,HTTP2,https://52.15.197.199:9000,/,756,/image,36828
12,HTTP2,https://172.17.90.8:9000,/,12,/image,787
12,QUIC,https://52.15.197.199:9001,/,374,/image,59597
12,QUIC,https://172.17.90.8:9001,/,27,/image,988
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
13,HTTP2,https://52.15.197.199:9000,/,733,/image,36033
13,HTTP2,https://172.17.90.8:9000,/,55,/image,830
13,QUIC,https://52.15.197.199:9001,/,374,/image,57726
13,QUIC,https://172.17.90.8:9001,/,6,/image,1016
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
14,HTTP2,https://52.15.197.199:9000,/,757,/image,43804
14,HTTP2,https://172.17.90.8:9000,/,43,/image,831
14,QUIC,https://52.15.197.199:9001,/,375,/image,49620
14,QUIC,https://172.17.90.8:9001,/,3,/image,992
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
15,HTTP2,https://52.15.197.199:9000,/,1199,/image,50118
15,HTTP2,https://172.17.90.8:9000,/,25,/image,823
15,QUIC,https://52.15.197.199:9001,/,376,/image,57020
15,QUIC,https://172.17.90.8:9001,/,6,/image,993
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
