INDEX,HTTP2_LOCAL,QUIC_LOCAL,HTTP2_REMOTE,QUIC_REMOTE
0,53,5,767,375
1,113,4,760,374
2,44,4,768,376
3,112,5,821,377
4,129,4,759,377
5,13,8,731,378
6,13,4,738,374
7,31,5,775,379
8,118,4,758,374
9,45,4,739,376
10,51,8,742,377
11,13,4,746,374
12,12,27,756,374
13,55,6,733,374
14,43,3,757,375
15,25,6,1199,376
16,90,4,753,375
17,33,3,747,374
18,14,4,763,375
19,9,4,754,374
20,12,4,747,376
21,101,4,759,374
22,11,4,1114,374
23,30,4,775,373
24,33,25,748,373
25,12,4,743,375
26,12,4,740,381
27,98,4,756,372
28,10,4,731,373
29,101,5,734,636
30,85,4,757,372
31,36,4,1521,378
32,83,4,755,371
33,12,4,749,373
34,36,5,773,379
35,69,5,747,372
36,20,11,772,373
37,104,4,758,375
38,83,17,769,372
39,31,27,731,373
40,11,4,743,373
41,92,3,740,375
42,82,4,751,378
43,80,3,743,376
44,11,4,756,375
45,13,5,758,372
46,11,3,741,372
47,89,4,739,374
48,11,5,775,378
49,12,4,786,379
