INDEX,HTTP2_LOCAL,QUIC_LOCAL,HTTP2_REMOTE,QUIC_REMOTE
0,46,15,781,187
1,117,15,813,192
2,15,15,805,203
3,15,31,803,203
4,124,15,774,187
5,77,31,782,207
6,93,31,765,187
7,15,31,770,222
8,62,15,770,203
9,93,15,772,203
10,99,31,777,203
11,15,31,806,187
12,15,31,779,203
13,15,30,800,207
14,8,31,782,203
15,15,31,802,203
16,15,31,783,203
17,46,33,834,203
18,62,15,800,203
19,30,15,781,205
20,51,31,781,205
21,15,15,774,187
22,15,15,813,187
23,108,15,816,193
24,93,31,778,187
25,124,15,777,218
26,15,15,767,192
27,15,31,795,203
28,15,31,765,203
29,15,15,827,187
30,46,30,807,203
31,31,17,797,202
32,31,31,807,206
33,47,31,805,211
34,46,30,816,187
35,108,15,784,220
36,103,15,769,203
37,64,15,817,203
38,78,31,803,187
39,93,15,801,204
40,15,31,808,207
41,108,15,792,206
42,61,31,787,187
43,46,31,821,203
44,15,15,778,203
45,15,31,791,187
46,6,32,781,187
47,15,31,769,187
48,93,31,780,208
49,15,31,817,218
