INDEX,NODE_HTTP2_LOCAL,NODE_QUIC_LOCAL,NODE_HTTP2_REMOTE,NODE_QUIC_REMOTE,DJANGO_HTTP2_LOCAL,DJANGO_QUIC_LOCAL,DJANGO_HTTP2_REMOTE,DJANGO_QUIC_REMOTE
,999,913,61595,54770,836,1127,1233,750
,798,1001,41740,53911,918,889,1254,203
,845,912,43138,66255,793,1119,1247,199
,898,1003,51527,63521,794,1082,1233,203
,960,916,37022,51925,910,1101,1197,191
,788,910,35908,50067,862,1135,1204,203
,788,1299,39781,63199,890,1100,1187,203
,819,989,27474,47476,800,1107,1224,187
,883,1012,53649,61855,854,1067,1210,203
,831,991,33833,50198,883,1117,1194,187
,839,910,41593,68406,892,1001,1216,188
,787,912,31651,63565,825,845,1228,203
,787,988,36828,59597,799,1066,1207,203
,830,1016,36033,57726,793,1108,1238,202
,831,992,43804,49620,792,1100,1215,187
,823,993,50118,57020,799,1190,1233,189
,876,999,47140,64868,804,1227,1210,203
,1234,997,29983,54478,833,1310,1288,203
,787,913,45320,69765,855,1173,1222,203
,789,1005,36820,67537,820,1099,1225,206
,789,912,47629,73235,839,843,1220,203
,896,992,46877,47632,799,1171,1212,203
,788,912,50122,61320,797,1127,1245,187
,814,1004,44712,43817,899,1056,1257,203
,826,1051,37805,56904,894,1134,1197,203
,788,910,40271,53523,910,1115,1199,203
,790,911,46702,62350,812,1083,1189,205
,902,914,44566,62711,801,1204,1236,203
,788,986,38767,70378,799,1097,1187,187
,1090,912,46374,75014,798,1162,1753,203
,880,1666,41522,73601,832,1086,1236,209
,835,909,46985,62057,856,863,1222,188
,886,1034,45463,75666,859,859,1250,187
,1030,1045,48739,71300,874,849,1241,203
,834,1026,51556,57128,877,1061,1247,205
,866,1009,46733,63569,893,1154,1212,200
,831,1206,49186,57146,880,1042,1191,193
,890,1001,45683,58587,851,1134,1255,203
,873,1244,46224,60019,859,1095,1224,203
,830,1022,42039,49419,875,1069,1241,187
,788,1047,46711,69112,813,1128,1244,187
,889,994,48804,46555,894,1114,1218,203
,870,989,45637,59384,848,1335,1217,203
,870,994,51444,57823,834,876,1247,187
,786,912,48981,61354,799,1162,1219,187
,788,991,48735,75295,799,898,1244,203
,788,918,48143,62960,802,1083,1216,187
,882,1000,46860,65217,810,1088,1191,203
,785,909,51488,58448,872,1114,1202,194
,789,910,44148,61259,791,1130,1255,203
