INDEX,NODE_HTTP2_LOCAL,NODE_QUIC_LOCAL,NODE_HTTP2_REMOTE,NODE_QUIC_REMOTE,DJANGO_HTTP2_LOCAL,DJANGO_QUIC_LOCAL,DJANGO_HTTP2_REMOTE,DJANGO_QUIC_REMOTE
,53,5,767,375,46,15,781,187
,113,4,760,374,117,15,813,192
,44,4,768,376,15,15,805,203
,112,5,821,377,15,31,803,203
,129,4,759,377,124,15,774,187
,13,8,731,378,77,31,782,207
,13,4,738,374,93,31,765,187
,31,5,775,379,15,31,770,222
,118,4,758,374,62,15,770,203
,45,4,739,376,93,15,772,203
,51,8,742,377,99,31,777,203
,13,4,746,374,15,31,806,187
,12,27,756,374,15,31,779,203
,55,6,733,374,15,30,800,207
,43,3,757,375,8,31,782,203
,25,6,1199,376,15,31,802,203
,90,4,753,375,15,31,783,203
,33,3,747,374,46,33,834,203
,14,4,763,375,62,15,800,203
,9,4,754,374,30,15,781,205
,12,4,747,376,51,31,781,205
,101,4,759,374,15,15,774,187
,11,4,1114,374,15,15,813,187
,30,4,775,373,108,15,816,193
,33,25,748,373,93,31,778,187
,12,4,743,375,124,15,777,218
,12,4,740,381,15,15,767,192
,98,4,756,372,15,31,795,203
,10,4,731,373,15,31,765,203
,101,5,734,636,15,15,827,187
,85,4,757,372,46,30,807,203
,36,4,1521,378,31,17,797,202
,83,4,755,371,31,31,807,206
,12,4,749,373,47,31,805,211
,36,5,773,379,46,30,816,187
,69,5,747,372,108,15,784,220
,20,11,772,373,103,15,769,203
,104,4,758,375,64,15,817,203
,83,17,769,372,78,31,803,187
,31,27,731,373,93,15,801,204
,11,4,743,373,15,31,808,207
,92,3,740,375,108,15,792,206
,82,4,751,378,61,31,787,187
,80,3,743,376,46,31,821,203
,11,4,756,375,15,15,778,203
,13,5,758,372,15,31,791,187
,11,3,741,372,6,32,781,187
,89,4,739,374,15,31,769,187
,11,5,775,378,93,31,780,208
,12,4,786,379,15,31,817,218
